denoise_threshold,denoise_method,median_kernel,gaussian_kernel,clahe_trigger,clahe_cliplimit,clahe_tile,binarize_median,binarize_blocksize,binarize_c,binarize_method,line_ratio_thresh,line_removal,line_dilation,line_dilation_iter,avg_cer,avg_wer
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 40)","(2, 2)",1,15.0189,42.5728
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 40)","(2, 2)",2,15.2228,43.5728
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 40)","(3, 3)",1,8.9611,24.7278
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 40)","(3, 3)",2,9.2333,25.8183
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 40)","(5, 5)",1,9.2333,25.8183
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 40)","(5, 5)",2,8.8922,24.855
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 50)","(2, 2)",1,15.8517,43.7422
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 50)","(2, 2)",2,15.2728,42.0239
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 50)","(3, 3)",1,9.5567,25.2533
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 50)","(3, 3)",2,9.4094,25.2117
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 50)","(5, 5)",1,9.4094,25.2117
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.005,"(10, 50)","(5, 5)",2,10.0367,26.8706
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 40)","(2, 2)",1,14.0533,38.6072
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 40)","(2, 2)",2,14.0294,39.255
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 40)","(3, 3)",1,8.3256,22.1867
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 40)","(3, 3)",2,7.6783,21.0489
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 40)","(5, 5)",1,7.6783,21.0489
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 40)","(5, 5)",2,8.1867,22.0878
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 50)","(2, 2)",1,14.1417,39.8044
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 50)","(2, 2)",2,14.4756,39.2539
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 50)","(3, 3)",1,8.23,23.2256
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 50)","(3, 3)",2,7.9461,22.4989
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 50)","(5, 5)",1,7.9461,22.4989
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.001,"(10, 50)","(5, 5)",2,8.2867,22.9378
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 40)","(2, 2)",1,14.08,38.66
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 40)","(2, 2)",2,14.0422,39.3811
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 40)","(3, 3)",1,8.3672,22.1578
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 40)","(3, 3)",2,7.7083,20.8889
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 40)","(5, 5)",1,7.7083,20.8889
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 40)","(5, 5)",2,8.1639,21.7994
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 50)","(2, 2)",1,14.1228,39.8044
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 50)","(2, 2)",2,14.5089,39.5094
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 50)","(3, 3)",1,8.2378,23.1461
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 50)","(3, 3)",2,7.9422,22.2861
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 50)","(5, 5)",1,7.9422,22.2861
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.003,"(10, 50)","(5, 5)",2,8.32,22.855
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 40)","(2, 2)",1,14.08,38.66
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 40)","(2, 2)",2,14.0422,39.3811
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 40)","(3, 3)",1,8.3672,22.1578
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 40)","(3, 3)",2,7.7083,20.8889
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 40)","(5, 5)",1,7.7083,20.8889
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 40)","(5, 5)",2,8.1639,21.7994
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 50)","(2, 2)",1,14.1228,39.8044
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 50)","(2, 2)",2,14.5089,39.5094
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 50)","(3, 3)",1,8.2378,23.1461
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 50)","(3, 3)",2,7.9422,22.2861
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 50)","(5, 5)",1,7.9422,22.2861
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,gaussian_c,0.005,"(10, 50)","(5, 5)",2,8.32,22.855
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,mean_c,0.001,"(10, 40)","(2, 2)",1,13.9761,40.2661
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,mean_c,0.001,"(10, 40)","(2, 2)",2,14.0928,40.7461
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,35,mean_c,0.001,"(10, 40)","(3, 3)",1,9.5911,26.4744
